id,date,time,pond_id,pond_size,fish_number,temperature,oxygen,salinity,Ph,water_quality,fish_weight,fish_liveness,feed_interval,feed_weight
1,2024-01-01,09:47:00,A01,8,53988,15.8,6.7,0.2,7.0,99.3,51.3,4093.0,0.0,90.67
2,2024-01-02,15:17:37,A01,8,53977,16.9,6.6,0.2,7.0,97.0,52.7,2501.0,29.5,91.99
3,2024-01-03,10:26:13,A01,8,53966,15.9,6.7,0.2,7.0,98.7,54.0,3018.0,19.1,84.49
4,2024-01-04,13:12:05,A01,8,53957,16.9,7.0,0.21,7.1,98.0,55.3,4225.0,26.8,100.15
5,2024-01-05,12:21:38,A01,8,53949,15.6,6.9,0.22,7.1,99.7,56.7,4934.0,23.2,86.69
6,2024-01-06,14:20:36,A01,8,53940,15.6,6.5,0.24,7.1,95.2,58.0,3885.0,26.0,85.28
7,2024-01-07,11:46:32,A01,8,53928,17.5,6.6,0.24,7.1,96.2,59.3,4612.0,21.4,110.07
8,2024-01-08,14:54:39,A01,8,53919,16.6,7.0,0.22,7.1,96.1,60.7,3342.0,27.1,105.92
9,2024-01-09,16:51:22,A01,8,53909,15.9,7.3,0.21,7.1,98.3,62.0,2504.0,25.9,102.24
10,2024-01-10,16:09:35,A01,8,53899,16.5,7.3,0.18,7.0,96.5,63.3,4208.0,23.3,112.69
11,2024-01-11,12:13:21,A01,8,53891,15.9,6.8,0.15,7.0,98.3,64.7,2652.0,20.1,102.51
12,2024-01-12,15:44:34,A01,8,53883,16.1,6.3,0.16,7.0,95.0,66.0,4965.0,27.5,102.18
13,2024-01-13,14:05:38,A01,8,53871,16.8,6.2,0.19,7.0,96.6,67.3,3471.0,22.4,111.79
14,2024-01-14,09:35:45,A01,8,53858,17.4,6.0,0.19,7.0,98.4,68.7,4657.0,19.5,119.36
15,2024-01-15,09:32:56,A01,8,53846,16.7,5.8,0.17,7.0,95.3,70.0,2512.0,24.0,110.57
16,2024-01-16,11:32:11,A01,8,53838,15.5,6.2,0.19,7.0,99.8,71.3,4859.0,26.0,100.87
17,2024-01-17,12:38:11,A01,8,53825,16.8,6.5,0.18,7.0,95.9,72.7,2518.0,25.1,124.21
18,2024-01-18,08:32:18,A01,8,53815,16.4,6.1,0.2,7.0,97.0,74.0,3502.0,19.9,115.89
19,2024-01-19,08:27:43,A01,8,53804,16.1,5.9,0.23,7.1,97.1,75.3,4191.0,23.9,111.14
20,2024-01-20,08:18:38,A01,8,53793,16.7,5.6,0.2,7.0,96.9,76.7,4878.0,23.8,118.15
21,2024-01-21,08:56:57,A01,8,53784,16.4,5.7,0.22,7.1,99.2,78.0,2546.0,24.6,117.01
22,2024-01-22,13:30:57,A01,8,53775,16.6,5.4,0.2,7.0,97.5,79.3,3121.0,28.6,118.29
23,2024-01-23,11:05:43,A01,8,53764,17.1,5.5,0.21,7.1,99.3,80.7,3788.0,21.6,128.47
24,2024-01-24,14:18:44,A01,8,53752,15.7,5.0,0.19,7.0,96.8,82.0,4538.0,27.2,104.88
25,2024-01-25,09:13:59,A01,8,53744,15.8,5.0,0.19,7.0,97.6,83.3,4846.0,18.9,107.95
26,2024-01-26,15:05:39,A01,8,53735,17.1,5.2,0.19,7.0,97.3,84.7,3062.0,29.9,130.78
27,2024-01-27,09:43:45,A01,8,53723,15.7,5.5,0.18,7.0,99.4,86.0,3341.0,18.6,116.16
28,2024-01-28,14:43:52,A01,8,53715,15.9,5.2,0.2,7.0,95.1,87.3,2549.0,29.0,116.95
29,2024-01-29,14:53:15,A01,8,53707,15.9,5.7,0.17,7.0,96.7,88.7,4732.0,24.2,125.55
30,2024-01-30,15:51:46,A01,8,53695,15.6,5.7,0.18,7.0,95.3,90.0,3494.0,25.0,122.45
